City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Atuona,PF,77.45,few clouds,-9.8,-139.0333,Villa Enata
8,Oistins,BB,84.29,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
13,Trincomalee,LK,85.93,overcast clouds,8.5711,81.2335,Welcombe Hotel
16,Mahebourg,MU,79.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
22,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
30,Nabire,ID,79.75,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
35,Neyyattinkara,IN,82.26,overcast clouds,8.4,77.0833,P.W.D. Rest House
43,Camocim,BR,86.52,broken clouds,-2.9022,-40.8411,Hotel Ilha do Amor
46,Saldanha,ZA,77.05,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
48,Maumere,ID,79.21,overcast clouds,-8.6199,122.2111,Sylvia Hotel
50,Lorengau,PG,82.76,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
52,Makaha,US,78.71,overcast clouds,21.4694,-158.2175,Hawaiian Princess Resort
53,Sao Felix Do Xingu,BR,84.27,broken clouds,-6.6447,-51.995,Rio Xingu Camping
54,Ponta Do Sol,PT,76.71,few clouds,32.6667,-17.1,Hotel do Campo
55,Tuy Hoa,VN,78.08,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
57,Nkhotakota,MW,81.03,broken clouds,-12.9274,34.2961,Sitima Inn
59,Thap Than,TH,78.85,overcast clouds,15.4606,99.8917,ขวัญเรือน ขำสุข
62,Algeciras,ES,78.57,broken clouds,36.1333,-5.4505,AC Hotel by Marriott Algeciras
64,Riohacha,CO,78.93,broken clouds,11.5444,-72.9072,Hotel Taroa
67,Aloleng,PH,81.61,light rain,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
71,Kapaa,US,77.32,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
77,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
81,Porbandar,IN,86.56,clear sky,21.6422,69.6093,Lords Inn Porbandar
84,Ellisras,ZA,84.85,clear sky,-23.6649,27.7443,Lapa le le guesthouse
96,Butaritari,KI,81.25,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
106,Maragogi,BR,81.79,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
108,Charters Towers,AU,77.41,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
