City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Flin Flon,CA,2021-10-09 16:10:47,54.7682,-101.865,46.74,65,41,8.63
1,Mutoko,ZW,2021-10-09 16:10:47,-17.397,32.2268,82.56,27,73,9.1
2,Katsuura,JP,2021-10-09 16:10:47,35.1333,140.3,71.19,85,34,7.23
3,Mahebourg,MU,2021-10-09 16:10:48,-20.4081,57.7,72.25,77,34,18.68
4,Freeport,US,2021-10-09 16:09:32,40.6576,-73.5832,70.18,66,90,8.01
5,Albany,US,2021-10-09 16:08:26,42.6001,-73.9662,65.8,74,100,1.01
6,Mizan Teferi,ET,2021-10-09 16:10:48,6.9833,35.5833,63.75,96,100,2.64
7,Kapaa,US,2021-10-09 16:10:48,22.0752,-159.319,75.52,74,40,7.0
8,Tezpur,IN,2021-10-09 16:06:35,26.6333,92.8,76.59,91,0,0.69
9,Thompson,CA,2021-10-09 16:10:49,55.7435,-97.8558,47.01,53,44,6.17
10,Hermanus,ZA,2021-10-09 16:10:49,-34.4187,19.2345,68.9,66,8,6.02
11,Porto Novo,BJ,2021-10-09 16:10:49,6.4965,2.6036,84.43,71,100,8.59
12,Cabo San Lucas,MX,2021-10-09 16:10:49,22.8909,-109.9124,89.91,47,1,3.0
13,Bredasdorp,ZA,2021-10-09 16:10:50,-34.5322,20.0403,67.28,55,16,8.9
14,Hilo,US,2021-10-09 16:09:22,19.7297,-155.09,75.27,91,90,6.91
15,Campo Maior,BR,2021-10-09 16:10:50,-4.8278,-42.1686,94.68,35,84,6.76
16,Busselton,AU,2021-10-09 16:10:50,-33.65,115.3333,46.09,80,2,9.48
17,Atar,MR,2021-10-09 16:10:51,20.5169,-13.0499,103.08,8,98,14.94
18,Ponta Delgada,PT,2021-10-09 16:10:51,37.7333,-25.6667,74.12,73,20,11.5
19,Tupik,RU,2021-10-09 16:10:51,54.4253,119.9327,29.43,82,100,4.03
20,Cidreira,BR,2021-10-09 16:10:52,-30.1811,-50.2056,63.5,84,100,20.22
21,Paamiut,GL,2021-10-09 16:10:52,61.994,-49.6678,35.17,38,2,0.78
22,Ponta Do Sol,PT,2021-10-09 16:10:52,32.6667,-17.1,80.01,68,23,1.59
23,Dikson,RU,2021-10-09 16:10:52,73.5069,80.5464,30.27,63,100,21.54
24,Aswan,EG,2021-10-09 16:10:53,24.0934,32.907,94.57,17,1,12.75
25,Rikitea,PF,2021-10-09 16:10:53,-23.1203,-134.9692,73.98,81,8,16.93
26,Maningrida,AU,2021-10-09 16:10:53,-12.0667,134.2667,76.55,84,90,6.64
27,Asau,RO,2021-10-09 16:10:54,46.4333,26.4,50.76,53,98,4.81
28,Carnarvon,AU,2021-10-09 16:10:54,-24.8667,113.6333,64.47,72,0,20.71
29,Trzebiatow,PL,2021-10-09 16:10:54,54.0615,15.2648,58.86,49,22,7.23
30,Deputatskiy,RU,2021-10-09 16:08:44,69.3,139.9,15.76,86,100,4.83
31,Adamas,GR,2021-10-09 16:10:55,36.7333,24.4333,71.02,77,4,0.43
32,Portland,US,2021-10-09 16:10:42,45.5234,-122.6762,52.38,87,75,3.0
33,Marienburg,PL,2021-10-09 16:10:55,54.0359,19.0266,49.66,48,98,5.1
34,Erenhot,CN,2021-10-09 16:10:55,43.6475,111.9767,41.54,59,78,11.21
35,Gambela,ET,2021-10-09 16:10:55,8.25,34.5833,73.22,96,100,7.99
36,Cape Town,ZA,2021-10-09 16:07:37,-33.9258,18.4232,69.12,45,1,12.88
37,Ribeira Grande,PT,2021-10-09 16:10:56,38.5167,-28.7,73.8,73,40,18.41
38,Faanui,PF,2021-10-09 16:10:56,-16.4833,-151.75,77.59,72,11,6.22
39,Belmonte,BR,2021-10-09 16:10:56,-15.8631,-38.8828,73.9,72,96,11.39
40,Saskylakh,RU,2021-10-09 16:10:57,71.9167,114.0833,10.62,100,100,2.66
41,Wewak,PG,2021-10-09 16:10:57,-3.5534,143.6268,80.11,85,59,6.13
